cpu_t0,memory_t0,disk_t0,temperature_t0,errors_t0,response_time_t0,network_t0,uptime_t0,processes_t0,threads_t0,cpu_t1,memory_t1,disk_t1,temperature_t1,errors_t1,response_time_t1,network_t1,uptime_t1,processes_t1,threads_t1,cpu_t2,memory_t2,disk_t2,temperature_t2,errors_t2,response_time_t2,network_t2,uptime_t2,processes_t2,threads_t2,cpu_t3,memory_t3,disk_t3,temperature_t3,errors_t3,response_time_t3,network_t3,uptime_t3,processes_t3,threads_t3,cpu_t4,memory_t4,disk_t4,temperature_t4,errors_t4,response_time_t4,network_t4,uptime_t4,processes_t4,threads_t4,cpu_t5,memory_t5,disk_t5,temperature_t5,errors_t5,response_time_t5,network_t5,uptime_t5,processes_t5,threads_t5,cpu_t6,memory_t6,disk_t6,temperature_t6,errors_t6,response_time_t6,network_t6,uptime_t6,processes_t6,threads_t6,cpu_t7,memory_t7,disk_t7,temperature_t7,errors_t7,response_time_t7,network_t7,uptime_t7,processes_t7,threads_t7,cpu_t8,memory_t8,disk_t8,temperature_t8,errors_t8,response_time_t8,network_t8,uptime_t8,processes_t8,threads_t8,cpu_t9,memory_t9,disk_t9,temperature_t9,errors_t9,response_time_t9,network_t9,uptime_t9,processes_t9,threads_t9,label
30.09,48.8,39.7,44.48,-1.17,101.62,1002.84,198.72,59.42,120.95,30.44,49.43,40.8,41.2,-0.3,104.14,999.93,201.95,61.86,120.31,30.59,50.18,40.42,44.63,1.58,100.08,1000.54,203.05,58.88,122.93,30.0,49.58,37.88,45.29,-2.26,98.2,999.48,195.05,58.96,118.65,30.96,48.81,42.55,42.74,-1.76,101.67,1000.77,199.79,56.59,116.47,31.7,47.19,39.78,40.43,3.62,99.65,998.19,199.67,62.32,116.52,28.54,50.83,41.37,43.83,-3.16,98.59,1004.22,197.78,58.26,123.43,29.44,49.0,40.97,43.33,-0.96,98.39,997.79,200.36,58.9,118.73,32.77,54.08,42.21,46.17,2.23,101.83,998.68,202.15,59.74,119.04,25.82,54.54,40.62,41.34,3.09,103.49,1000.22,199.53,59.52,120.45,0
28.76,47.99,41.1,47.08,-4.01,102.16,1001.7,200.11,60.42,121.01,29.79,51.19,40.29,42.4,0.85,102.84,1002.88,196.61,61.61,120.26,31.93,48.91,38.15,47.87,-4.82,98.38,1002.29,200.65,61.61,119.37,32.67,49.55,39.17,43.46,-0.38,100.59,1000.02,204.55,61.38,120.37,28.14,49.31,42.56,49.33,-3.17,95.51,1000.03,200.23,58.42,121.63,26.49,46.71,42.26,47.14,-2.98,100.37,1000.21,200.27,61.37,119.92,29.96,47.63,36.31,46.74,0.03,99.16,1001.61,204.46,62.12,121.69,29.43,47.73,42.01,47.32,2.71,94.51,1000.92,200.93,59.68,122.21,29.0,46.57,38.92,42.06,0.49,97.97,1000.12,198.12,61.78,121.58,29.97,49.61,41.29,44.45,3.98,98.67,1001.62,202.05,61.35,122.78,0
30.86,47.89,39.89,46.49,-0.67,99.07,1002.26,196.15,61.78,121.59,29.48,46.16,39.82,42.65,-1.52,98.57,997.59,200.08,59.11,122.46,27.79,46.76,41.13,45.16,-0.48,98.76,1000.81,198.49,61.58,121.59,28.13,51.78,38.29,47.0,1.63,100.15,999.16,196.98,57.11,120.62,33.24,47.91,40.13,45.15,1.33,100.35,998.48,200.01,56.11,120.34,29.03,48.95,43.56,48.5,-3.22,101.01,1001.92,198.77,58.17,121.88,28.87,52.31,40.08,45.51,0.4,97.9,1000.48,202.16,61.18,114.7,28.23,55.37,39.73,44.41,-1.44,101.53,999.56,203.05,60.23,119.78,27.17,52.92,38.0,42.19,-0.38,101.25,997.43,200.12,64.01,126.04,30.87,52.65,40.25,43.82,1.95,101.67,1000.88,200.2,58.94,119.14,0
27.87,53.2,41.41,45.13,-1.73,100.4,1000.69,200.77,60.34,120.13,29.73,53.26,37.44,43.96,1.0,99.1,1001.33,198.61,58.65,123.33,29.4,53.76,41.08,43.46,4.44,97.91,1003.07,200.5,66.47,119.52,28.37,51.32,42.98,46.04,-0.43,101.63,997.15,195.01,58.37,119.17,30.26,48.88,39.38,45.08,2.7,100.79,1002.67,198.65,59.4,119.36,32.45,49.2,41.01,47.31,1.35,99.39,995.95,202.46,60.05,119.66,28.9,48.2,40.44,46.42,0.06,98.16,999.67,199.92,61.26,117.36,29.83,45.85,39.89,46.71,-0.76,101.18,998.08,196.65,59.62,123.8,28.3,50.59,40.39,45.73,0.95,100.88,1000.83,202.07,64.3,120.28,30.21,51.14,39.26,41.56,-1.84,102.31,1001.04,201.09,57.64,119.98,0
35.47,52.03,43.01,47.74,0.09,97.94,1000.13,199.6,56.5,119.59,32.17,51.93,38.62,44.93,2.43,98.95,1001.15,200.61,57.98,118.79,31.05,50.06,43.39,48.45,-2.66,101.08,1003.31,197.23,57.64,120.57,33.52,49.36,38.43,43.43,-3.53,98.12,1000.95,200.76,59.45,117.05,31.67,49.95,39.68,41.31,1.01,102.14,1001.13,201.59,59.69,119.36,27.18,51.07,40.52,44.48,-0.09,102.56,1000.7,198.99,58.19,120.49,31.48,51.19,37.49,44.2,1.59,100.65,998.61,195.81,61.88,118.88,29.38,53.98,40.2,48.59,-2.09,101.24,999.85,194.91,59.71,120.07,34.14,53.29,40.15,48.05,2.23,101.08,1000.03,200.5,60.96,117.49,31.21,49.24,39.5,45.21,-0.26,97.38,1001.39,199.79,57.63,118.75,0
29.59,48.01,39.5,45.36,-2.03,100.74,999.39,198.11,59.63,119.02,32.23,52.25,41.94,47.07,2.15,100.39,998.2,199.52,58.31,118.61,32.12,51.9,38.17,44.5,-1.12,99.34,996.75,201.29,58.41,117.35,27.68,51.52,40.31,44.19,1.51,99.72,1004.22,202.98,60.32,120.13,31.06,48.72,38.55,44.52,0.74,101.93,999.84,202.28,55.33,121.52,31.74,47.0,44.27,44.27,2.58,99.42,994.26,202.17,62.45,120.71,28.08,51.97,38.13,45.38,1.15,97.54,1001.18,198.47,61.21,123.86,29.7,49.8,37.82,43.69,-0.22,101.88,999.59,203.29,57.12,122.01,32.7,52.21,39.56,44.61,3.19,97.11,996.36,198.12,57.07,122.45,34.4,46.89,43.14,42.77,0.34,98.95,999.69,199.89,57.68,120.08,0
28.36,50.61,40.93,43.31,-0.75,100.74,1001.31,200.37,58.14,116.18,29.15,49.54,38.72,44.52,-1.17,102.0,1003.68,205.22,60.0,121.46,27.87,53.05,39.7,45.48,-1.57,100.52,1001.65,199.55,59.62,119.51,26.9,51.24,38.02,44.59,-1.31,100.85,1000.36,200.67,57.77,116.23,31.1,49.1,39.92,44.6,5.05,101.28,1001.06,199.1,58.21,117.56,29.67,49.14,36.92,44.7,1.94,102.44,1000.59,197.99,56.79,119.35,30.48,53.53,37.75,42.71,1.07,97.63,1000.91,199.97,61.57,120.31,31.41,48.75,39.36,43.01,-0.2,97.01,999.35,197.16,57.49,115.91,30.61,50.45,42.86,41.14,-2.02,97.08,1003.84,196.79,61.91,120.9,32.01,49.74,36.75,44.71,0.64,97.15,999.72,199.67,62.09,119.71,0
31.33,53.22,37.79,43.41,-2.19,99.81,1000.83,199.42,59.41,118.02,29.21,48.66,39.87,44.73,-1.14,97.04,998.4,198.76,62.01,118.88,29.71,49.42,38.42,45.01,0.52,102.21,1002.81,198.65,62.48,119.1,28.42,50.92,40.94,46.52,0.6,99.88,1001.06,199.8,58.93,118.2,26.83,51.18,41.97,44.01,-1.89,103.52,1002.33,199.23,59.49,118.3,29.38,48.62,37.94,46.27,4.38,98.3,999.91,201.85,59.65,121.47,28.27,49.24,41.17,43.72,0.92,100.34,997.98,199.05,62.87,121.63,31.05,51.34,40.75,45.05,-1.42,99.34,1001.54,205.51,62.87,121.56,25.72,51.17,39.35,46.81,1.99,98.56,997.99,199.41,59.56,119.85,32.86,50.93,38.83,49.31,-4.49,100.42,1000.98,201.81,64.65,119.88,0
24.71,49.73,41.14,43.63,-0.12,101.25,1000.41,199.72,56.88,122.8,31.88,49.73,40.94,44.3,1.24,101.89,1001.91,203.82,60.28,120.71,28.77,49.91,43.87,44.94,0.16,100.04,998.59,196.81,56.17,118.93,32.13,49.16,39.25,42.52,3.22,100.33,999.31,195.97,59.81,116.72,31.8,51.4,37.26,43.67,0.56,99.15,1000.39,198.5,61.04,121.65,32.35,48.85,37.01,49.52,1.64,104.31,1000.48,200.23,58.19,119.3,27.6,44.35,42.88,43.21,-3.73,102.79,998.56,198.5,62.56,121.96,28.25,51.63,41.09,41.18,-1.19,98.89,1002.34,202.78,61.05,121.6,25.84,51.07,36.73,47.92,2.36,98.02,997.91,199.11,61.02,121.99,31.94,48.49,40.0,43.61,0.59,101.43,1000.82,201.36,57.43,118.85,0
29.77,50.8,40.66,44.03,1.54,99.87,1000.9,202.15,62.49,120.39,30.95,46.71,40.76,45.42,-0.68,99.63,1001.96,199.45,57.72,119.91,27.93,46.36,40.92,44.93,2.48,101.99,1002.05,198.59,63.52,119.87,30.84,51.53,43.33,48.03,2.21,102.97,1002.02,204.92,57.37,119.76,32.7,51.25,37.34,46.43,0.29,99.87,1003.3,199.76,56.47,116.31,33.03,49.4,38.57,42.42,-0.43,98.5,1000.78,198.27,61.39,116.55,30.53,49.81,36.81,45.6,-1.08,101.3,1001.17,199.22,59.8,117.88,29.67,48.97,38.09,45.24,-2.78,101.82,1002.47,194.79,60.0,114.92,27.66,49.51,36.89,42.15,0.78,101.22,998.78,202.54,58.42,122.46,29.68,49.78,39.44,43.51,-4.91,97.79,997.64,197.39,59.57,121.19,0
31.28,49.89,41.78,44.05,0.11,102.74,998.44,203.9,58.82,119.32,31.89,49.4,40.77,43.23,0.12,98.29,998.21,197.65,58.5,121.38,32.17,47.48,36.92,41.08,-0.42,99.67,997.81,202.5,57.62,119.38,30.37,51.99,41.05,48.6,-0.83,101.53,999.86,197.34,59.75,116.96,25.25,48.99,33.96,44.68,2.61,100.71,998.98,199.72,57.09,121.6,30.69,49.01,42.87,46.64,-2.78,97.93,1001.99,202.78,61.11,114.74,30.03,46.97,42.01,46.44,-0.59,98.53,998.89,197.67,58.39,119.35,27.74,53.31,37.57,43.22,0.36,98.87,996.85,199.36,59.72,118.49,31.6,48.46,41.22,43.74,-1.42,98.91,1001.39,197.23,60.59,119.26,30.04,50.01,40.33,43.69,0.05,99.18,1001.65,197.24,57.0,120.15,0
27.92,47.49,39.74,46.76,1.89,98.98,1000.66,199.08,58.98,121.62,27.44,51.45,39.55,45.8,0.14,99.02,1002.26,197.71,59.17,122.22,28.94,52.29,39.92,44.62,-1.86,101.16,1000.68,196.28,62.81,115.61,30.21,49.83,40.88,44.56,-2.35,100.04,999.96,199.09,58.54,120.74,29.92,45.17,37.72,45.18,-2.41,101.13,1002.63,200.61,60.84,120.66,29.28,52.35,39.58,44.23,2.21,99.58,1001.41,203.05,59.03,120.39,28.88,50.39,40.25,39.53,0.17,102.14,1000.19,198.44,60.93,119.76,28.74,50.42,40.33,45.35,0.62,96.16,1003.63,200.92,60.53,120.51,25.48,52.34,42.7,46.26,-4.0,99.13,1002.18,201.29,59.9,121.03,33.22,48.78,40.76,45.2,1.69,98.96,1003.87,202.63,62.33,119.66,0
31.46,50.49,40.79,46.81,0.55,102.26,1003.28,204.33,63.08,117.35,29.66,50.78,35.82,44.81,-0.9,100.18,1001.82,200.89,57.29,117.96,30.7,48.49,39.76,45.52,1.28,100.07,1000.78,199.56,59.77,121.43,35.05,48.86,39.09,43.27,-0.39,97.42,997.23,200.98,54.91,120.12,29.59,51.83,40.58,44.69,-2.82,100.22,1001.79,202.54,60.82,124.96,31.04,48.06,38.13,45.51,1.42,99.0,1001.65,200.42,58.73,117.33,29.98,52.16,41.24,46.31,1.27,101.16,995.04,199.2,58.32,119.83,31.07,47.33,40.36,45.02,0.53,100.65,1002.76,199.98,61.77,119.19,33.03,49.09,40.26,45.29,2.95,96.15,1005.03,199.24,59.9,121.16,26.84,52.71,40.08,43.68,2.14,98.57,999.95,199.82,58.86,120.17,0
28.43,53.46,40.02,41.26,0.78,96.95,996.82,197.81,59.78,118.58,30.68,45.93,37.46,46.62,2.15,101.03,1002.13,200.54,60.86,124.36,28.98,49.06,42.45,43.31,1.8,101.26,1002.7,202.42,60.41,118.45,32.09,48.14,41.08,42.46,1.9,99.46,998.01,201.19,62.08,120.06,33.02,50.02,41.82,42.53,-0.65,101.33,999.66,201.04,61.48,119.75,31.5,48.88,38.07,47.43,-2.51,100.17,1001.28,205.24,60.72,118.93,32.0,49.64,38.42,41.98,2.72,97.33,999.91,197.81,61.16,118.05,28.05,50.85,39.18,42.51,1.26,97.46,999.83,199.73,60.59,116.75,29.35,49.93,40.07,45.63,0.54,96.96,997.83,199.48,57.79,119.63,29.57,50.84,40.16,44.73,-2.7,102.23,997.28,198.22,57.83,120.06,0
27.65,44.74,39.28,44.2,-2.38,98.82,1003.55,199.81,59.16,116.55,30.27,51.95,40.81,46.98,-1.14,99.0,999.05,200.8,57.86,120.41,30.08,48.71,41.86,43.51,-1.55,100.4,997.05,199.27,60.2,123.51,28.98,48.03,41.1,46.22,2.47,95.58,999.06,201.74,60.74,119.65,25.01,51.05,36.61,45.13,1.28,102.33,1002.4,203.05,60.37,119.78,28.41,51.02,37.56,43.44,5.28,101.32,998.43,197.65,58.32,121.53,29.41,48.86,40.28,43.44,-1.48,98.41,998.88,197.61,60.33,120.57,29.4,49.61,38.99,48.83,4.27,98.17,1003.05,198.55,61.7,121.56,30.85,49.24,37.07,44.03,2.02,104.19,1003.07,200.66,59.47,121.9,30.77,49.3,43.84,44.54,1.39,98.86,994.46,200.44,61.85,118.42,0
30.12,51.87,42.05,42.33,0.51,104.33,1001.54,199.21,60.22,118.62,28.12,51.7,40.02,47.36,2.43,101.03,999.63,197.38,61.17,121.42,27.84,51.17,40.19,45.2,-1.77,99.98,999.94,198.16,59.52,119.73,33.56,52.07,42.18,46.12,0.45,99.21,999.26,197.5,63.23,121.56,27.86,50.27,41.63,45.66,1.95,100.31,999.77,199.67,61.9,119.9,29.55,49.15,40.55,45.93,-0.46,100.93,1000.45,200.48,60.17,119.82,31.08,50.08,39.09,46.95,-3.53,101.66,1001.33,200.92,63.11,118.25,29.49,49.89,38.14,42.66,1.94,98.78,996.63,201.06,62.4,117.76,29.52,51.0,38.29,48.34,-3.01,98.33,1000.99,205.21,61.35,123.41,30.17,49.96,42.89,45.06,1.86,97.76,1002.66,204.47,63.19,120.17,0
32.15,47.84,43.51,43.16,-0.15,103.49,996.47,204.93,62.79,120.89,29.33,46.97,42.3,45.86,-0.93,99.81,1001.9,199.4,60.45,119.86,30.65,55.94,42.08,46.17,0.05,98.45,1000.1,202.06,57.7,117.08,34.57,51.03,42.56,43.84,0.26,98.95,1003.09,197.42,59.51,122.28,32.05,49.49,39.72,43.69,-3.53,100.52,1001.73,200.83,60.92,124.36,27.29,52.56,40.72,44.72,1.02,101.02,997.51,195.6,59.42,119.26,29.95,48.4,37.64,45.98,2.11,100.91,999.6,199.26,59.8,119.55,31.16,49.21,41.9,46.65,-1.81,101.03,1001.18,199.6,58.57,122.73,28.06,49.69,38.74,42.74,-2.53,101.5,997.03,200.28,62.31,119.17,29.59,52.43,42.11,46.07,-1.57,99.77,1003.34,199.26,62.18,119.07,0
27.47,50.33,39.01,47.38,-1.09,102.08,1001.0,203.94,58.69,121.94,32.73,48.41,40.9,47.1,-1.4,99.54,999.17,202.47,57.38,121.41,28.75,49.62,43.35,42.58,-3.92,99.43,999.94,198.76,60.64,122.38,27.66,48.05,40.2,46.2,-2.4,100.65,1001.51,203.07,63.37,120.98,28.81,47.33,37.85,45.73,-1.29,97.56,1005.71,201.7,61.23,120.48,30.35,47.52,36.16,43.68,1.39,98.36,995.92,199.47,62.45,119.21,28.78,50.18,40.73,48.06,-1.76,103.32,991.49,198.42,63.87,117.82,30.08,49.73,37.5,44.62,0.5,100.07,1002.64,202.0,57.23,121.96,32.21,48.28,37.07,43.09,-0.43,104.01,1000.45,198.55,61.69,116.76,29.97,51.5,40.05,47.75,0.58,98.86,998.91,197.9,58.17,119.4,0
32.35,47.84,38.89,45.56,-2.21,105.78,999.19,199.86,60.8,121.36,31.95,48.45,40.02,40.6,-0.11,98.42,997.04,199.59,57.27,120.67,28.58,46.94,40.4,42.85,-1.26,97.54,1003.03,200.9,57.05,117.71,31.56,52.56,42.32,45.55,-0.98,101.95,1001.97,200.31,59.35,122.54,30.06,50.33,43.76,46.84,-0.43,103.35,1001.55,199.38,59.8,119.17,30.37,50.73,41.69,47.47,1.35,100.11,999.43,199.99,60.85,118.44,33.12,47.56,42.95,44.31,-2.36,100.29,999.82,202.58,57.14,120.67,30.47,49.97,41.02,46.37,-4.24,102.74,1001.22,199.77,57.9,118.91,30.27,50.51,38.47,44.1,-1.81,102.36,1000.61,201.75,60.89,120.81,29.49,50.06,41.0,44.6,-2.43,100.43,996.27,199.46,61.93,120.45,0
29.84,49.54,38.97,44.77,-0.25,102.25,1000.6,200.8,58.84,120.64,28.28,49.54,42.19,43.76,-3.1,103.8,996.32,196.88,54.03,119.93,28.94,51.23,39.37,46.09,1.99,101.98,1003.77,199.02,62.5,119.26,33.76,50.07,40.61,45.1,2.79,98.46,997.11,199.96,56.8,117.29,32.48,47.28,39.63,43.75,0.03,95.03,1001.04,200.97,59.46,119.74,29.09,43.19,39.29,46.55,1.66,100.85,1002.37,197.9,61.57,121.13,33.78,54.09,37.38,43.99,-1.0,101.39,997.58,201.13,63.29,119.57,26.65,51.29,40.91,46.88,-0.02,95.96,997.62,200.0,59.35,123.17,25.98,52.63,43.39,41.85,-2.52,100.17,1000.08,200.9,57.43,121.53,29.45,52.37,40.13,47.6,3.16,96.55,999.0,199.09,58.8,123.24,0
